what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362691496980
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362691498986
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362691499055
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1362691503603
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1362691505598
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362691516836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691516902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691518420
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362691518513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691526615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691562947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691563753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691600185
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1362691603456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362691612519
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1362691612519
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362691615340
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1362691615403
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362691634343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691638623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691639985
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362691641432
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362691641505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691643385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691649282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362691651928
opened,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1362691654514
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1362691654663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691673278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691675031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691675502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362691707565
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362691711698
